,name,price,weight,price per kg,image url
0,Rohlík tukový 43g,"1,50 Kč",43g,"34,88Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/697/0000000013697/ShotType1_225x225.jpg
1,Rohlík staročeský 50g,"2,50 Kč",50g,"50,00Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/173/0000000034173/ShotType1_225x225.jpg
2,Rohlík staročeský s mákem 50g,"2,50 Kč",50g,"50,00Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/180/0000000034180/ShotType1_225x225.jpg
3,Rohlík staročeský se solí a kmínem 50g,"2,50 Kč",50g,"50,00Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/197/0000000034197/ShotType1_225x225.jpg
4,Bageta malá světlá 50g,"3,50 Kč",50g,"53,85Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/812/0000000012812/ShotType1_225x225.jpg
5,Houska staročeská 70g,"3,90 Kč",70g,"55,71Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/090/0000000014090/ShotType1_225x225.jpg
6,Houska staročeská mák 70g,"3,90 Kč",70g,"55,71Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/113/0000000014113/ShotType1_225x225.jpg
7,Kaiserka cereální 60g,"3,90 Kč",60g,"65,00Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/932/0000000013932/ShotType1_225x225.jpg
8,Houska staročeská sůl-kmín 70g,"3,90 Kč",70g,"55,71Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/120/0000000014120/ShotType1_225x225.jpg
9,Tiger staročeská houska k pivu 75g,"4,90 Kč",75g,"65,33Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/934/0000000035934/ShotType1_225x225.jpg
10,Rohlik Pivák 55g,"4,90 Kč",55g,"70,00Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/324/217324/ShotType1_225x225.jpg
11,Rohlík vícezrnný 60g,"6,90 Kč",60g,"115,00Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/081/0000000021081/ShotType1_225x225.jpg
12,Rohlík slunečnicový 60g,"6,90 Kč",60g,"115,00Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/128/0000000021128/ShotType1_225x225.jpg
13,Kornspitz 80g,"6,90 Kč",80g,"86,25Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/299/0000000004299/ShotType1_225x225.jpg
14,Francouzská bageta s kváskem 110g,"7,90 Kč",110g,"71,82Kč/kg",https://secure.ce-tescoassets.com/assets/CZ/124/8590325296124/ShotType1_225x225.jpg
